年份,首播日期,頻道,集數,劇名,主演
2001年,4月12日,華視,24, 流星花園 ,F4 、 徐熙媛 、 錢韋杉 、 楊丞琳 、 歐定興 、 藍正龍
2001年,7月30日,台視 東森,18, 吐司男之吻 ,李威 、 李康宜 、 蔡裴琳 、 張毓晨
2001年,8月20日,華視 東森,45, 貧窮貴公子 ,周渝民 、 朱孝天 、 伊能靜 、 柳翰雅
2001年,9月9日,華視,13, 醜女大翻身 ,郭妃麗 、 張立威 、 鍾欣凌
2001年,9月27日,華視,4, 流星雨 ,F4 、 千田愛紗 、 佐藤麻衣 、 楊丞琳
2001年,10月11日,華視,13, 蜜桃女孩 ,吳建豪 、 吳辰君 、 吳克群
2001年,11月2日,華視,3, 烈愛傷痕 ,言承旭 、 莫文蔚 、 張學友
2001年,12月6日,台視 三立,10, 薰衣草 ,許紹洋 、 陳怡蓉 、 王建隆 、 林韋君
2001年,12月19日,華視,30, 橘子醬男孩 ,朱孝天 、 黃湘怡
2002年,1月23日,台視,20, 愛情大魔咒 ,藍正龍 、 Ella 、 Hebe 、 彭曉彤 、 劉智瑋 、 李蒨蓉 、 周幼婷 、 聶雲 、 葛蕾
2002年,1月25日,台視   東森,18, 吐司男之吻II愛情本事 ,李威 、 李康宜 、 蔡裴琳 、 張毓晨 、 張天霖 、 陳躍虎 、 龐庸之 、 鈕承澤
2002年,2月1日,中視,14, 來我家吧 ,許茹芸 、 范植偉 、 天心 、 F4 (客串)
2002年,2月21日,台視,13, 搖滾莎士 ,韓志傑 、 李康宜 、 吳中天 、 章家瑄 、 于冠華 、 葉天倫 、 溫兆宇 、 吳恩琪 、 蔣偉文
2002年,3月7日,華視,7, 世紀愛情夢幻 ,甄秀珍 、 柯叔元 、 夏如芝 、 湯鈞禧
2002年,3月27日,台視,13, 再見螢火蟲 ,袁耀發 、 湯鈞禧 、 關建瑩 、 郭鑫 、 葉安婷 、 邱琦雯
2002年,3月27日,民視,24, 超人氣學園 ,賈靜雯 、 郁方 、 劉至翰 、 林煒 、 王建隆 、 王俐人 、 張懷汶 、 許傑輝
2002年,4月2日,八大,21, 十八歲的約定 ,施易男 、 林依晨 、 許瑋倫 、 馬志翔 、 張毓晨 、 張孝全 、 劉畊宏
2002年,4月26日,中視,21, 愛情白皮書 ,彭于晏 、 楊丞琳 、 余文樂 、 范瑋琪 、 李元伯
2002年,4月26日,華視,13, U-TOUCH四號宿舍 ,郭鑫 、 川島茉樹代 、 楊祐寧 、 王瀅
2002年,5月23日,台視,13, 紫色角落 ,陳建州 、 楊千霈 、 小嫻 、 張孝全 、 周群達 、 唐志中
2002年,6月3日,台視,13, 極速青春 ,陳柏霖 、 柯有倫 、 王宇婕 、 李岳
2002年,6月26日,台視,20, 摘星 ,陳宇凡 、 沈韶妲 、 霍建華 、 張毓晨 、 黃文豪 、 李烈 、 李厚豪 、 林健寰 、 楊凱橋
2002年,6月29日,華視,24, 愛上痞子男 ,竇智孔 、 陳德容 、 李李仁 、 周幼婷 、 范瑞君 、 王瞳
2002年,7月5日,中視,41, 麻辣高校生 ,范筱梵 、 安以軒 、 林利霏 、 屈中恆 、 陳若芝 、 庹宗康 、 陳幼芳 、 劉亮佐 謝承均 、 張勛傑
2002年,7月9日,中視 東森,10, 雪地裡的星星 ,何潤東 、 邱澤 、 陳怡蓉 、 胡雅評
2002年,7月21日,華視 三立,18, MVP情人 ,5566 、 顏行書 、 張韶涵 、 陳喬恩 、 高天騏 、 陳宇凡 、 林立雯
2002年,8月2日,中視 東森,13, 甜檸檬之戀 ,李威 、 姚元浩 、 梁又琳 、 侯湘婷
2002年,8月5日,華視,27, 偷偷愛上你 ,TAE 、 林韋君 、 鍾漢良 、 鄭安倫 、 李元伯 、 陳俊生 、 許瑋倫
2002年,8月12日,東風衛視,25, 八號風球的愛戀 ,曾寶儀 、 鄭家榆 、 蕭淑慎 、 張瓊姿 、 屈中恆 、 王耀慶 、 李李仁 、 尹昭德
2002年,9月3日,華視,22, 月光森林 ,吳克群 、 馬志翔 、 張本渝 、 侯湘婷 、 本多RuRu 、 隆宸翰 、 陳承祥 、 陳予新 、 劉虹嬅 、 紀文蕙 、 蔡立群
2002年,11月11日,華視 東風衛視,31, 流星花園Ⅱ ,F4 、 徐熙媛 、 鄭雪兒 、 吳佩慈 、 楊丞琳 、 歐定興 、 賴雅妍 、 錢韋杉
2002年,11月15日,中視 東森,15, 天下無雙 ,竇智孔 、 許瑋倫 、 婷婷
2002年,12月4日,民視,27, 愛情風味屋 ,劉至翰 、 後藤希美子
2002年,12月18日,華視,17, 聖夏零度C ,林佑威 、 陳斯婷 、 楊謹華 、 徐可
2003年,1月12日,中視 東森,20, 我的秘密花園 ,林依晨 、 張天霖 、 楊謹華 、 梁又琳 李岳 、 六月  、 金玉嵐  、 蔡淑臻 、 霍建華
